step,train_loss,val_loss,val_perplexity,learning_rate,tokens_per_sec,total_tokens,grad_norm,timestamp
0,12.007951,N/A,N/A,2.50e-07,0.00,20480,N/A,2025-07-26 16:21:32
58,10.618014,N/A,N/A,1.47e-05,31729.33,86187449978.969986,1208320,N/A,2025-07-26 21:10:27
59,10.554103,N/A,N/A,1.50e-05,31885.31,86187449979.309998,1228800,N/A,2025-07-26 21:10:28
60,10.386109,N/A,N/A,1.52e-05,31735.15,172374899958.289978,1249280,1.0000,2025-07-26 21:10:28
61,10.313655,N/A,N/A,1.55e-05,31740.15,172374899958.299988,1269760,N/A,2025-07-26 21:10:29
62,9.150763,N/A,N/A,1.57e-05,31744.59,172374899958.309998,1290240,N/A,2025-07-26 21:10:30
63,9.035235,N/A,N/A,1.60e-05,31755.93,172374899958.339996,1310720,N/A,2025-07-26 21:10:31
64,9.854378,N/A,N/A,1.63e-05,31770.89,172374899958.369995,1331200,N/A,2025-07-26 21:10:31
65,9.765353,N/A,N/A,1.65e-05,31789.99,172374899958.410004,1351680,N/A,2025-07-26 21:10:32
66,10.005097,N/A,N/A,1.68e-05,31795.12,172374899958.419983,1372160,N/A,2025-07-26 21:10:33
67,9.921298,N/A,N/A,1.70e-05,31719.65,344749799916.679993,1392640,N/A,2025-07-26 21:10:33
68,9.568293,N/A,N/A,1.73e-05,31714.71,689499599833.349976,1413120,N/A,2025-07-26 21:10:34
69,9.479129,N/A,N/A,1.75e-05,31867.36,689499599833.679932,1433600,N/A,2025-07-26 21:10:35
70,10.622794,N/A,N/A,1.78e-05,31736.52,1378999199667.070068,1454080,1.0000,2025-07-26 21:10:36
71,10.562971,N/A,N/A,1.80e-05,31744.98,1378999199667.090088,1474560,N/A,2025-07-26 21:10:36
72,10.149504,N/A,N/A,1.82e-05,31722.33,2757998399334.130371,1495040,N/A,2025-07-26 21:10:37
73,10.080060,N/A,N/A,1.85e-05,31702.05,5515996798668.220703,1515520,N/A,2025-07-26 21:10:38
74,10.776857,N/A,N/A,1.88e-05,31692.82,11031993597336.421875,1536000,N/A,2025-07-26 21:10:38
75,10.725266,N/A,N/A,1.90e-05,31679.46,22063987194672.8125,1556480,N/A,2025-07-26 21:10:39
76,8.660937,N/A,N/A,1.93e-05,31736.85,22063987194672.933594,1576960,N/A,2025-07-26 21:10:40
77,8.566401,N/A,N/A,1.95e-05,31748.15,22063987194672.960938,1597440,N/A,2025-07-26 21:10:41
78,9.842249,N/A,N/A,1.98e-05,31735.13,44127974389345.890625,1617920,N/A,2025-07-26 21:10:41
79,9.779408,N/A,N/A,2.00e-05,31840.18,44127974389346.125,1638400,N/A,2025-07-26 21:10:42
80,8.024536,N/A,N/A,2.02e-05,31750.98,88255948778692.0625,1658880,1.0000,2025-07-26 21:10:43
81,7.933735,N/A,N/A,2.05e-05,31730.48,176511897557384.0625,1679360,N/A,2025-07-26 21:10:43
82,8.560226,N/A,N/A,2.07e-05,31736.24,176511897557384.09375,1699840,N/A,2025-07-26 21:10:44
83,8.480954,N/A,N/A,2.10e-05,31758.33,176511897557384.125,1720320,N/A,2025-07-26 21:10:45
84,8.803310,N/A,N/A,2.13e-05,31527.95,353023795114767.75,1740800,N/A,2025-07-26 21:10:46
85,8.730350,N/A,N/A,2.15e-05,31555.53,353023795114767.8125,1761280,N/A,2025-07-26 21:10:46
86,8.357728,N/A,N/A,2.18e-05,31548.47,706047590229535.625,1781760,N/A,2025-07-26 21:10:47
87,8.296132,N/A,N/A,2.20e-05,31551.38,706047590229535.625,1802240,N/A,2025-07-26 21:10:48
88,8.999643,N/A,N/A,2.22e-05,31565.38,706047590229535.625,1822720,N/A,2025-07-26 21:10:48
89,8.949269,N/A,N/A,2.25e-05,31640.20,706047590229535.875,1843200,N/A,2025-07-26 21:10:49
90,6.726388,N/A,N/A,2.28e-05,31540.77,1412095180459071.75,1863680,1.0000,2025-07-26 21:10:50
91,6.668429,N/A,N/A,2.30e-05,31551.39,1412095180459071.75,1884160,N/A,2025-07-26 21:10:51
92,9.254252,N/A,N/A,2.33e-05,31536.84,2824190360918143.5,1904640,N/A,2025-07-26 21:10:51
93,9.220626,N/A,N/A,2.35e-05,31780.99,2824190360918144,1925120,N/A,2025-07-26 21:10:52
94,7.388520,N/A,N/A,2.37e-05,31753.13,5648380721836288,1945600,N/A,2025-07-26 21:10:53
95,7.347729,N/A,N/A,2.40e-05,31770.81,5648380721836288,1966080,N/A,2025-07-26 21:10:54
96,7.445142,N/A,N/A,2.42e-05,31771.44,5648380721836288,1986560,N/A,2025-07-26 21:10:54
97,7.409160,N/A,N/A,2.45e-05,31775.84,5648380721836288,2007040,N/A,2025-07-26 21:10:55
98,7.294172,N/A,N/A,2.48e-05,31809.54,5648380721836288,2027520,N/A,2025-07-26 21:10:56
99,7.255720,N/A,N/A,2.50e-05,31923.94,5648380721836288,2048000,N/A,2025-07-26 21:10:56
100,8.505177,N/A,N/A,2.53e-05,31807.33,11296761443672578,2068480,1.0000,2025-07-26 21:10:57
101,8.476490,N/A,N/A,2.55e-05,23775.53,22593522887345140,2088960,N/A,2025-07-26 21:11:00
102,8.140651,N/A,N/A,2.57e-05,23772.65,22593522887345140,2109440,N/A,2025-07-26 21:11:01
103,8.110264,N/A,N/A,2.60e-05,23785.69,22593522887345140,2129920,N/A,2025-07-26 21:11:01
104,9.274719,N/A,N/A,2.63e-05,23756.57,45187045774690272,2150400,N/A,2025-07-26 21:11:02
105,9.246211,N/A,N/A,2.65e-05,23749.48,90374091549380544,2170880,N/A,2025-07-26 21:11:03
106,8.359421,N/A,N/A,2.68e-05,23679.31,180748183098761088,2191360,N/A,2025-07-26 21:11:04
107,8.335561,N/A,N/A,2.70e-05,23672.78,361496366197522176,2211840,N/A,2025-07-26 21:11:04
108,7.358366,N/A,N/A,2.72e-05,23675.83,361496366197522176,2232320,N/A,2025-07-26 21:11:05
109,7.332669,N/A,N/A,2.75e-05,23731.89,361496366197522176,2252800,N/A,2025-07-26 21:11:06
110,8.306520,N/A,N/A,2.77e-05,31529.24,361496366197522176,2273280,1.0000,2025-07-26 21:11:06
111,8.281689,N/A,N/A,2.80e-05,31533.66,361496366197522176,2293760,N/A,2025-07-26 21:11:07
112,7.253857,N/A,N/A,2.83e-05,31529.89,722992732395044480,2314240,N/A,2025-07-26 21:11:08
113,7.232149,N/A,N/A,2.85e-05,31528.94,722992732395044480,2334720,N/A,2025-07-26 21:11:09
114,7.318238,N/A,N/A,2.87e-05,31526.00,722992732395044480,2355200,N/A,2025-07-26 21:11:09
115,7.296961,N/A,N/A,2.90e-05,31648.62,722992732395044480,2375680,N/A,2025-07-26 21:11:10
116,7.287941,N/A,N/A,2.92e-05,31637.37,1445985464790088704,2396160,N/A,2025-07-26 21:11:11
117,7.264931,N/A,N/A,2.95e-05,31624.81,2891970929580177408,2416640,N/A,2025-07-26 21:11:11
118,8.693129,N/A,N/A,2.98e-05,31625.43,2891970929580177408,2437120,N/A,2025-07-26 21:11:12
119,8.666262,N/A,N/A,3.00e-05,31811.00,2891970929580177408,2457600,N/A,2025-07-26 21:11:13
120,7.331221,N/A,N/A,3.03e-05,31695.64,5783941859160354816,2478080,1.0000,2025-07-26 21:11:14
121,7.307784,N/A,N/A,3.05e-05,31688.92,11567883718320709632,2498560,N/A,2025-07-26 21:11:14
122,5.495080,N/A,N/A,3.08e-05,31723.14,11567883718320709632,2519040,N/A,2025-07-26 21:11:15
123,5.475240,N/A,N/A,3.10e-05,31754.08,11567883718320709632,2539520,N/A,2025-07-26 21:11:16
124,6.819734,N/A,N/A,3.13e-05,31757.17,11567883718320709632,2560000,N/A,2025-07-26 21:11:16
