step,train_loss,val_loss,val_perplexity,learning_rate,tokens_per_sec,total_tokens,grad_norm,timestamp
0,11.983653,N/A,N/A,2.50e-07,0.00,4096,N/A,2025-06-08 13:22:20
1,11.958459,N/A,N/A,5.00e-07,204.29,8192,N/A,2025-06-08 13:23:01
2,11.973983,N/A,N/A,7.50e-07,303.26,12288,N/A,2025-06-08 13:23:01
3,11.907897,N/A,N/A,1.00e-06,400.58,16384,N/A,2025-06-08 13:23:01
4,11.884151,N/A,N/A,1.25e-06,496.05,20480,N/A,2025-06-08 13:23:02
5,11.707363,N/A,N/A,1.50e-06,589.82,24576,N/A,2025-06-08 13:23:02
6,11.687778,N/A,N/A,1.75e-06,681.81,28672,N/A,2025-06-08 13:23:03
7,11.559816,N/A,N/A,2.00e-06,772.16,32768,N/A,2025-06-08 13:23:03
8,11.798412,N/A,N/A,2.25e-06,861.00,36864,N/A,2025-06-08 13:23:03
9,11.674072,N/A,N/A,2.50e-06,948.04,40960,N/A,2025-06-08 13:23:04
10,11.452683,N/A,N/A,2.75e-06,11397.84,45056,1.0000,2025-06-08 13:23:04
11,11.495766,N/A,N/A,3.00e-06,11478.64,49152,N/A,2025-06-08 13:23:05
12,11.492022,N/A,N/A,3.25e-06,11417.83,53248,N/A,2025-06-08 13:23:05
13,11.811821,N/A,N/A,3.50e-06,11398.83,57344,N/A,2025-06-08 13:23:05
14,11.471823,N/A,N/A,3.75e-06,11354.38,61440,N/A,2025-06-08 13:23:06
15,11.399654,N/A,N/A,4.00e-06,11340.93,65536,N/A,2025-06-08 13:23:06
16,10.951030,N/A,N/A,4.25e-06,11294.74,69632,N/A,2025-06-08 13:23:07
17,10.884892,N/A,N/A,4.50e-06,11257.66,73728,N/A,2025-06-08 13:23:07
18,10.213367,N/A,N/A,4.75e-06,11211.54,77824,N/A,2025-06-08 13:23:07
19,9.718845,N/A,N/A,5.00e-06,11492.45,81920,N/A,2025-06-08 13:23:08
20,9.589484,N/A,N/A,5.25e-06,11200.97,86016,1.0000,2025-06-08 13:23:08
21,9.988585,N/A,N/A,5.50e-06,11210.93,90112,N/A,2025-06-08 13:23:09
22,10.411225,N/A,N/A,5.75e-06,11174.32,94208,N/A,2025-06-08 13:23:09
23,10.052631,N/A,N/A,6.00e-06,11141.01,98304,N/A,2025-06-08 13:23:09
24,7.895276,N/A,N/A,6.25e-06,11128.35,102400,N/A,2025-06-08 13:23:10
25,6.820900,N/A,N/A,6.50e-06,11119.83,106496,N/A,2025-06-08 13:23:10
26,5.880124,N/A,N/A,6.75e-06,11075.88,110592,N/A,2025-06-08 13:23:11
27,6.319821,N/A,N/A,7.00e-06,11073.25,114688,N/A,2025-06-08 13:23:11
28,10.319880,N/A,N/A,7.25e-06,11076.51,118784,N/A,2025-06-08 13:23:11
29,9.344971,N/A,N/A,7.50e-06,11362.50,122880,N/A,2025-06-08 13:23:12
30,10.055956,N/A,N/A,7.75e-06,11074.66,126976,1.0000,2025-06-08 13:23:12
