step,train_loss,val_loss,val_perplexity,learning_rate,tokens_per_sec,avg_seq_len,total_tokens,grad_norm,timestamp
14000,5.934240,N/A,N/A,1.47e-04,0.00,675.00,2700,N/A,2025-08-05 11:34:56
14001,5.336968,N/A,N/A,1.47e-04,397.99,618.00,5172,N/A,2025-08-05 18:37:39
14002,5.076293,N/A,N/A,1.47e-04,473.31,265.25,6233,N/A,2025-08-05 18:37:39
14003,5.705486,N/A,N/A,1.47e-04,633.82,556.50,8459,N/A,2025-08-05 18:37:39
14004,5.462681,N/A,N/A,1.47e-04,844.35,739.75,11418,N/A,2025-08-05 18:37:39
14005,5.253098,N/A,N/A,1.47e-04,1054.55,757.00,14446,N/A,2025-08-05 18:37:40
14006,5.360137,N/A,N/A,1.47e-04,1287.49,857.00,17874,N/A,2025-08-05 18:37:40
14007,4.938354,N/A,N/A,1.47e-04,1482.12,742.75,20845,N/A,2025-08-05 18:37:40
14008,5.507787,N/A,N/A,1.47e-04,1667.02,724.25,23742,N/A,2025-08-05 18:37:40
14009,5.019999,N/A,N/A,1.47e-04,1788.15,512.50,25792,N/A,2025-08-05 18:37:40
14010,5.154364,N/A,N/A,1.47e-04,15147.52,678.25,28505,9319.7461,2025-08-05 18:37:41
14011,5.410274,N/A,N/A,1.47e-04,15480.06,773.25,31598,N/A,2025-08-05 18:37:41
14012,5.292974,N/A,N/A,1.47e-04,16079.59,525.00,33698,N/A,2025-08-05 18:37:41
14013,5.342312,N/A,N/A,1.47e-04,15802.95,446.00,35482,N/A,2025-08-05 18:37:41
14014,5.078477,N/A,N/A,1.47e-04,15922.69,791.75,38649,N/A,2025-08-05 18:37:41
14015,4.994903,N/A,N/A,1.47e-04,16224.55,860.75,42092,N/A,2025-08-05 18:37:41
14016,5.492783,N/A,N/A,1.47e-04,15790.21,675.00,44792,N/A,2025-08-05 18:37:42
14017,4.937523,N/A,N/A,1.47e-04,15444.33,618.00,47264,N/A,2025-08-05 18:37:42
14018,4.359924,N/A,N/A,1.47e-04,14413.15,265.25,48325,N/A,2025-08-05 18:37:42
14019,5.184677,N/A,N/A,1.47e-04,15370.37,556.50,50551,N/A,2025-08-05 18:37:42
14020,5.121994,N/A,N/A,1.47e-04,15050.37,739.75,53510,6412.2406,2025-08-05 18:37:42
14021,4.890849,N/A,N/A,1.47e-04,15041.69,757.00,56538,N/A,2025-08-05 18:37:43
14022,4.967407,N/A,N/A,1.47e-04,15828.26,857.00,59966,N/A,2025-08-05 18:37:43
14023,4.442705,N/A,N/A,1.47e-04,16398.76,742.75,62937,N/A,2025-08-05 18:37:43
14024,4.933767,N/A,N/A,1.47e-04,16244.60,724.25,65834,N/A,2025-08-05 18:37:43
14025,4.520215,N/A,N/A,1.47e-04,15470.76,512.50,67884,N/A,2025-08-05 18:37:43
14026,4.683849,N/A,N/A,1.47e-04,15547.37,678.25,70597,N/A,2025-08-05 18:37:43
14027,4.998495,N/A,N/A,1.47e-04,15927.33,773.25,73690,N/A,2025-08-05 18:37:44
14028,4.781406,N/A,N/A,1.46e-04,16519.93,525.00,75790,N/A,2025-08-05 18:37:44
14029,4.742942,N/A,N/A,1.46e-04,16731.03,446.00,77574,N/A,2025-08-05 18:37:44
14030,4.688591,N/A,N/A,1.46e-04,16531.28,791.75,80741,1010078.8892,2025-08-05 18:37:44
14031,4.566607,N/A,N/A,1.46e-04,16730.98,860.75,84184,N/A,2025-08-05 18:37:44
14032,5.580188,N/A,N/A,1.46e-04,16072.95,541.75,86351,N/A,2025-08-05 18:37:45
14033,5.473864,N/A,N/A,1.46e-04,15922.59,728.50,89265,N/A,2025-08-05 18:37:45
14034,5.202441,N/A,N/A,1.46e-04,16010.86,759.25,92302,N/A,2025-08-05 18:37:45
14035,5.638655,N/A,N/A,1.46e-04,16082.80,578.00,94614,N/A,2025-08-05 18:37:45
14036,5.678691,N/A,N/A,1.46e-04,16181.26,730.25,97535,N/A,2025-08-05 18:37:45
14037,5.711039,N/A,N/A,1.46e-04,16020.16,681.00,100259,N/A,2025-08-05 18:37:45
14038,5.725657,N/A,N/A,1.46e-04,16660.39,780.50,103381,N/A,2025-08-05 18:37:46
14039,5.018175,N/A,N/A,1.46e-04,16732.30,395.75,104964,N/A,2025-08-05 18:37:46
14040,5.549886,N/A,N/A,1.46e-04,16537.22,861.75,108411,12913.6205,2025-08-05 18:37:46
14041,5.291236,N/A,N/A,1.46e-04,16337.58,774.25,111508,N/A,2025-08-05 18:37:46
14042,5.236921,N/A,N/A,1.46e-04,16575.92,653.00,114120,N/A,2025-08-05 18:37:46
14043,5.377225,N/A,N/A,1.46e-04,16139.70,556.25,116345,N/A,2025-08-05 18:37:47
14044,5.233827,N/A,N/A,1.46e-04,15916.08,754.25,119362,N/A,2025-08-05 18:37:47
14045,4.993558,N/A,N/A,1.46e-04,16344.31,775.50,122464,N/A,2025-08-05 18:37:47
