step,train_loss,val_loss,val_perplexity,learning_rate,tokens_per_sec,avg_seq_len,total_tokens,grad_norm,timestamp
0,11.407187,N/A,N/A,2.50e-07,0.00,2048.00,16384,N/A,2025-08-04 17:42:53
1,11.402163,N/A,N/A,5.00e-07,1090.42,2048.00,32768,N/A,2025-08-04 17:43:23
2,11.020544,N/A,N/A,7.50e-07,1605.00,2048.00,49152,N/A,2025-08-04 17:43:23
3,11.014784,N/A,N/A,1.00e-06,2100.94,2048.00,65536,N/A,2025-08-04 17:43:24
4,11.432888,N/A,N/A,1.25e-06,2578.98,2048.00,81920,N/A,2025-08-04 17:43:24
5,11.417868,N/A,N/A,1.50e-06,3040.47,2048.00,98304,N/A,2025-08-04 17:43:25
6,11.567057,N/A,N/A,1.75e-06,3485.91,2048.00,114688,N/A,2025-08-04 17:43:25
7,11.559020,N/A,N/A,2.00e-06,3915.94,2048.00,131072,N/A,2025-08-04 17:43:26
8,11.367283,N/A,N/A,2.25e-06,4331.66,2048.00,147456,N/A,2025-08-04 17:43:27
9,11.350418,N/A,N/A,2.50e-06,4732.83,2048.00,163840,N/A,2025-08-04 17:43:27
10,11.253723,N/A,N/A,2.75e-06,31545.50,2048.00,180224,3.7420,2025-08-04 17:43:28
11,11.235246,N/A,N/A,3.00e-06,31572.24,2048.00,196608,N/A,2025-08-04 17:43:28
12,11.215589,N/A,N/A,3.25e-06,31574.99,2048.00,212992,N/A,2025-08-04 17:43:29
13,11.234780,N/A,N/A,3.50e-06,31591.22,2048.00,229376,N/A,2025-08-04 17:43:30
14,11.434004,N/A,N/A,3.75e-06,31588.50,2048.00,245760,N/A,2025-08-04 17:43:30
15,11.397467,N/A,N/A,4.00e-06,31587.82,2048.00,262144,N/A,2025-08-04 17:43:31
16,11.312618,N/A,N/A,4.25e-06,31597.33,2048.00,278528,N/A,2025-08-04 17:43:31
17,11.306437,N/A,N/A,4.50e-06,31609.41,2048.00,294912,N/A,2025-08-04 17:43:32
18,11.138760,N/A,N/A,4.75e-06,31654.79,2048.00,311296,N/A,2025-08-04 17:43:32
19,11.149840,N/A,N/A,5.00e-06,32001.31,2048.00,327680,N/A,2025-08-04 17:43:33
20,11.226863,N/A,N/A,5.25e-06,31751.64,2048.00,344064,2.0850,2025-08-04 17:43:34
21,11.215971,N/A,N/A,5.50e-06,31728.30,2048.00,360448,N/A,2025-08-04 17:43:34
22,11.277538,N/A,N/A,5.75e-06,31403.42,2048.00,376832,N/A,2025-08-04 17:43:35
