step,train_loss,val_loss,val_perplexity,learning_rate,tokens_per_sec,total_tokens,grad_norm,timestamp
0,12.813498,N/A,N/A,2.50e-07,0.00,12288,N/A,2025-07-26 16:18:28
1,12.429053,N/A,N/A,5.00e-07,1013.69,12289.2,24576,N/A,2025-07-26 21:04:39
2,12.167485,N/A,N/A,7.50e-07,1429.27,12289.69,36864,N/A,2025-07-26 21:04:41
3,12.160404,N/A,N/A,1.00e-06,1823.22,12290.16,49152,N/A,2025-07-26 21:04:42
4,12.311782,N/A,N/A,1.25e-06,2184.63,12290.59,61440,N/A,2025-07-26 21:04:43
5,12.304675,N/A,N/A,1.50e-06,2517.21,12290.98,73728,N/A,2025-07-26 21:04:44
6,12.043783,N/A,N/A,1.75e-06,2822.37,12291.34,86016,N/A,2025-07-26 21:04:45
7,12.031930,N/A,N/A,2.00e-06,3099.95,12291.67,98304,N/A,2025-07-26 21:04:47
8,12.072153,N/A,N/A,2.25e-06,3363.17,12291.98,110592,N/A,2025-07-26 21:04:48
9,12.053223,N/A,N/A,2.50e-06,3608.17,12292.27,122880,N/A,2025-07-26 21:04:49
10,12.279737,N/A,N/A,2.75e-06,11162.35,12301.21,135168,1.0000,2025-07-26 21:04:50
11,12.265050,N/A,N/A,3.00e-06,11567.97,12301.69,147456,N/A,2025-07-26 21:04:51
12,12.378637,N/A,N/A,3.25e-06,11571.43,12301.7,159744,N/A,2025-07-26 21:04:53
13,12.358880,N/A,N/A,3.50e-06,11566.20,24603.39,172032,N/A,2025-07-26 21:04:54
14,12.110869,N/A,N/A,3.75e-06,11563.31,24603.39,184320,N/A,2025-07-26 21:04:55
15,12.085698,N/A,N/A,4.00e-06,11586.40,24603.42,196608,N/A,2025-07-26 21:04:56
16,11.995235,N/A,N/A,4.25e-06,11660.61,24603.5,208896,N/A,2025-07-26 21:04:57
17,11.974445,N/A,N/A,4.50e-06,11665.76,24603.51,221184,N/A,2025-07-26 21:04:58
18,12.171331,N/A,N/A,4.75e-06,11670.28,24603.52,233472,N/A,2025-07-26 21:05:00
19,12.142595,N/A,N/A,5.00e-06,11708.72,24603.56,245760,N/A,2025-07-26 21:05:01
20,11.972529,N/A,N/A,5.25e-06,11587.24,49206.98,258048,1.0000,2025-07-26 21:05:02
21,11.931159,N/A,N/A,5.50e-06,11567.19,98413.93,270336,N/A,2025-07-26 21:05:03
22,12.049563,N/A,N/A,5.75e-06,11540.73,196827.83,282624,N/A,2025-07-26 21:05:04
23,12.015406,N/A,N/A,6.00e-06,11502.17,393655.62,294912,N/A,2025-07-26 21:05:06
24,12.021590,N/A,N/A,6.25e-06,11493.09,787311.23,307200,N/A,2025-07-26 21:05:07
25,11.990217,N/A,N/A,6.50e-06,11401.72,1574622.35,319488,N/A,2025-07-26 21:05:08
26,12.169574,N/A,N/A,6.75e-06,11341.57,3149244.63,331776,N/A,2025-07-26 21:05:09
27,12.145680,N/A,N/A,7.00e-06,11342.00,3149244.63,344064,N/A,2025-07-26 21:05:10
28,11.558571,N/A,N/A,7.25e-06,11336.14,6298489.25,356352,N/A,2025-07-26 21:05:12
29,11.510689,N/A,N/A,7.50e-06,11445.35,6298489.38,368640,N/A,2025-07-26 21:05:13
30,11.792262,N/A,N/A,7.75e-06,11392.71,12596978.7,380928,1.0000,2025-07-26 21:05:14
31,11.750855,N/A,N/A,8.00e-06,11423.07,12596978.73,393216,N/A,2025-07-26 21:05:15
32,11.819180,N/A,N/A,8.25e-06,11460.75,12596978.78,405504,N/A,2025-07-26 21:05:16
33,11.786770,N/A,N/A,8.50e-06,11468.29,12596978.79,417792,N/A,2025-07-26 21:05:17
34,11.665675,N/A,N/A,8.75e-06,11562.72,12596978.9,430080,N/A,2025-07-26 21:05:19
35,11.622953,N/A,N/A,9.00e-06,11622.99,12596978.97,442368,N/A,2025-07-26 21:05:20
36,11.791376,N/A,N/A,9.25e-06,11627.41,12596978.98,454656,N/A,2025-07-26 21:05:21
37,11.754352,N/A,N/A,9.50e-06,11624.00,25193957.95,466944,N/A,2025-07-26 21:05:22
38,11.413877,N/A,N/A,9.75e-06,11570.96,50387915.84,479232,N/A,2025-07-26 21:05:23
39,11.354251,N/A,N/A,1.00e-05,11637.63,50387915.92,491520,N/A,2025-07-26 21:05:25
40,11.076246,N/A,N/A,1.03e-05,11592.47,100775831.78,503808,1.0000,2025-07-26 21:05:26
41,11.007418,N/A,N/A,1.05e-05,11586.84,100775831.78,516096,N/A,2025-07-26 21:05:27
42,11.629238,N/A,N/A,1.08e-05,11590.74,100775831.78,528384,N/A,2025-07-26 21:05:28
43,11.579647,N/A,N/A,1.10e-05,11592.08,100775831.78,540672,N/A,2025-07-26 21:05:29
44,10.862641,N/A,N/A,1.13e-05,11587.72,100775831.78,552960,N/A,2025-07-26 21:05:30
