step,train_loss,val_loss,val_perplexity,learning_rate,tokens_per_sec,tokens_per_sec_per_M_params,total_tokens,grad_norm,timestamp
0,12.013983,N/A,N/A,2.50e-07,0.00,0.00,8192,N/A,2025-08-03 11:58:41
1,12.210928,N/A,N/A,5.00e-07,7558.27,696.62,10060,N/A,2025-08-07 18:03:09
2,12.164159,N/A,N/A,7.50e-07,7079.32,963.62,17769,N/A,2025-08-07 18:03:10
3,12.141159,N/A,N/A,1.00e-06,7042.96,1024.00,25961,N/A,2025-08-07 18:03:11
4,12.213041,N/A,N/A,1.25e-06,5376.31,234.00,27833,N/A,2025-08-07 18:03:13
5,12.123465,N/A,N/A,1.50e-06,5167.04,407.12,31090,N/A,2025-08-07 18:03:14
6,12.104824,N/A,N/A,1.75e-06,4833.71,134.75,32168,N/A,2025-08-07 18:03:14
7,12.075758,N/A,N/A,2.00e-06,4744.33,226.88,33983,N/A,2025-08-07 18:03:15
8,12.042115,N/A,N/A,2.25e-06,4819.19,272.88,36166,N/A,2025-08-07 18:03:15
9,11.878529,N/A,N/A,2.50e-06,4965.59,354.25,39000,N/A,2025-08-07 18:03:15
10,11.893719,N/A,N/A,2.75e-06,5418.31,423.00,42384,8.1916,2025-08-07 18:03:16
11,11.841966,N/A,N/A,3.00e-06,5776.64,472.75,46166,N/A,2025-08-07 18:03:16
12,11.750195,N/A,N/A,3.25e-06,5811.03,521.38,50337,N/A,2025-08-07 18:03:17
13,11.703520,N/A,N/A,3.50e-06,6381.56,558.38,54804,N/A,2025-08-07 18:03:17
14,11.662985,N/A,N/A,3.75e-06,6945.35,186.75,56298,N/A,2025-08-07 18:03:18
15,11.597576,N/A,N/A,4.00e-06,7178.43,281.75,58552,N/A,2025-08-07 18:03:18
16,11.430181,N/A,N/A,4.25e-06,8067.03,368.75,61502,N/A,2025-08-07 18:03:18
17,11.374802,N/A,N/A,4.50e-06,8276.51,512.12,65599,N/A,2025-08-07 18:03:19
18,11.415578,N/A,N/A,4.75e-06,8747.51,563.25,70105,N/A,2025-08-07 18:03:19
19,11.285724,N/A,N/A,5.00e-06,9392.25,589.38,74820,N/A,2025-08-07 18:03:20
20,11.265281,N/A,N/A,5.25e-06,9803.65,629.62,79857,5.4657,2025-08-07 18:03:20
21,11.098710,N/A,N/A,5.50e-06,10218.19,661.50,85149,N/A,2025-08-07 18:03:21
22,11.176075,N/A,N/A,5.75e-06,10338.60,696.12,90718,N/A,2025-08-07 18:03:21
23,11.093831,N/A,N/A,6.00e-06,10467.14,720.25,96480,N/A,2025-08-07 18:03:22
24,10.967068,N/A,N/A,6.25e-06,11240.55,759.38,102555,N/A,2025-08-07 18:03:22
25,10.942046,N/A,N/A,6.50e-06,11597.14,778.88,108786,N/A,2025-08-07 18:03:23
26,10.896604,N/A,N/A,6.75e-06,11142.29,191.75,110320,N/A,2025-08-07 18:03:23
27,10.830268,N/A,N/A,7.00e-06,10598.64,265.25,112442,N/A,2025-08-07 18:03:24
28,10.889736,N/A,N/A,7.25e-06,10325.75,320.88,115009,N/A,2025-08-07 18:03:24
29,10.691443,N/A,N/A,7.50e-06,10170.83,412.12,118306,N/A,2025-08-07 18:03:24
30,10.813468,N/A,N/A,7.75e-06,10202.01,510.50,122390,3.5930,2025-08-07 18:03:25
31,10.602961,N/A,N/A,8.00e-06,10236.29,572.12,126967,N/A,2025-08-07 18:03:25
32,10.612071,N/A,N/A,8.25e-06,10288.82,646.12,132136,N/A,2025-08-07 18:03:26
33,10.474638,N/A,N/A,8.50e-06,10378.58,750.62,138141,N/A,2025-08-07 18:03:26
34,10.574518,N/A,N/A,8.75e-06,10313.19,811.25,144631,N/A,2025-08-07 18:03:27
35,10.525349,N/A,N/A,9.00e-06,10483.99,853.88,151462,N/A,2025-08-07 18:03:27
36,10.397385,N/A,N/A,9.25e-06,11354.46,879.25,158496,N/A,2025-08-07 18:03:28
37,10.525651,N/A,N/A,9.50e-06,11825.26,912.12,165793,N/A,2025-08-07 18:03:29
38,10.343910,N/A,N/A,9.75e-06,12270.26,950.00,173393,N/A,2025-08-07 18:03:29
39,10.211338,N/A,N/A,1.00e-05,11392.21,156.00,174641,N/A,2025-08-07 18:03:30
40,10.238349,N/A,N/A,1.03e-05,11221.40,260.50,176725,3.5275,2025-08-07 18:03:30
41,10.278226,N/A,N/A,1.05e-05,10706.48,351.38,179536,N/A,2025-08-07 18:03:31
42,10.392950,N/A,N/A,1.08e-05,10514.19,431.00,182984,N/A,2025-08-07 18:03:31
43,10.331942,N/A,N/A,1.10e-05,10643.07,503.00,187008,N/A,2025-08-07 18:03:31
44,10.244971,N/A,N/A,1.12e-05,10650.22,632.75,192070,N/A,2025-08-07 18:03:32
45,10.247066,N/A,N/A,1.15e-05,10583.74,726.88,197885,N/A,2025-08-07 18:03:32
