step,train_loss,val_loss,val_perplexity,learning_rate,tokens_per_sec,tokens_per_sec_per_M_params,total_tokens,grad_norm,timestamp
0,12.057063,N/A,N/A,2.50e-07,0.00,0.00,8192,N/A,2025-08-03 17:49:44
1,11.983309,N/A,N/A,5.00e-07,668.42,1.88,16384,N/A,2025-08-03 17:50:09
2,11.549929,N/A,N/A,7.50e-07,979.34,2.76,24576,N/A,2025-08-03 17:50:09
3,11.228221,N/A,N/A,1.00e-06,1288.79,3.63,32768,N/A,2025-08-03 17:50:10
4,11.173029,N/A,N/A,1.25e-06,1592.52,4.48,40960,N/A,2025-08-03 17:50:10
5,10.678937,N/A,N/A,1.50e-06,1889.15,5.32,49152,N/A,2025-08-03 17:50:10
6,10.890689,N/A,N/A,1.75e-06,2179.11,6.13,57344,N/A,2025-08-03 17:50:11
7,9.581021,N/A,N/A,2.00e-06,2462.57,6.93,65536,N/A,2025-08-03 17:50:11
8,9.127101,N/A,N/A,2.25e-06,2739.95,7.71,73728,N/A,2025-08-03 17:50:11
9,7.803593,N/A,N/A,2.50e-06,3009.53,8.47,81920,N/A,2025-08-03 17:50:12
10,7.491604,N/A,N/A,2.75e-06,26507.76,74.61,90112,69.9761,2025-08-03 17:50:12
11,7.053594,N/A,N/A,3.00e-06,29226.05,82.27,98304,N/A,2025-08-03 17:50:12
12,4.925899,N/A,N/A,3.25e-06,29567.70,83.23,106496,N/A,2025-08-03 17:50:13
13,4.966818,N/A,N/A,3.50e-06,29538.89,83.15,114688,N/A,2025-08-03 17:50:13
14,7.822752,N/A,N/A,3.75e-06,29545.42,83.16,122880,N/A,2025-08-03 17:50:13
15,8.138364,N/A,N/A,4.00e-06,29550.35,83.18,131072,N/A,2025-08-03 17:50:13
16,4.721884,N/A,N/A,4.25e-06,29321.33,82.53,139264,N/A,2025-08-03 17:50:14
17,5.262024,N/A,N/A,4.50e-06,29325.07,82.54,147456,N/A,2025-08-03 17:50:14
18,1.730926,N/A,N/A,4.75e-06,29492.00,83.01,155648,N/A,2025-08-03 17:50:14
19,3.433241,N/A,N/A,5.00e-06,30379.03,85.51,163840,N/A,2025-08-03 17:50:15
20,5.979781,N/A,N/A,5.25e-06,29977.20,84.38,172032,9.8539,2025-08-03 17:50:15
21,6.071711,N/A,N/A,5.50e-06,29976.22,84.38,180224,N/A,2025-08-03 17:50:15
22,7.764340,N/A,N/A,5.75e-06,29989.84,84.42,188416,N/A,2025-08-03 17:50:16
23,5.350304,N/A,N/A,6.00e-06,29967.32,84.35,196608,N/A,2025-08-03 17:50:16
24,5.674307,N/A,N/A,6.25e-06,29863.49,84.06,204800,N/A,2025-08-03 17:50:16
25,4.220671,N/A,N/A,6.50e-06,30085.56,84.68,212992,N/A,2025-08-03 17:50:16
26,4.740032,N/A,N/A,6.75e-06,30079.75,84.67,221184,N/A,2025-08-03 17:50:17
27,4.908284,N/A,N/A,7.00e-06,30039.15,84.55,229376,N/A,2025-08-03 17:50:17
28,3.085795,N/A,N/A,7.25e-06,30080.43,84.67,237568,N/A,2025-08-03 17:50:17
29,3.371711,N/A,N/A,7.50e-06,30450.49,85.71,245760,N/A,2025-08-03 17:50:18
30,7.051645,N/A,N/A,7.75e-06,30014.67,84.49,253952,7.2293,2025-08-03 17:50:18
31,7.304170,N/A,N/A,8.00e-06,30011.21,84.48,262144,N/A,2025-08-03 17:50:18
32,4.538530,N/A,N/A,8.25e-06,30030.98,84.53,270336,N/A,2025-08-03 17:50:19
33,5.989359,N/A,N/A,8.50e-06,30132.39,84.82,278528,N/A,2025-08-03 17:50:19
34,4.823246,N/A,N/A,8.75e-06,30128.54,84.81,286720,N/A,2025-08-03 17:50:19
35,3.217934,N/A,N/A,9.00e-06,30128.83,84.81,294912,N/A,2025-08-03 17:50:19
36,5.255597,N/A,N/A,9.25e-06,30155.06,84.88,303104,N/A,2025-08-03 17:50:20
37,3.856876,N/A,N/A,9.50e-06,30159.51,84.89,311296,N/A,2025-08-03 17:50:20
38,5.690164,N/A,N/A,9.75e-06,30146.06,84.85,319488,N/A,2025-08-03 17:50:20
39,2.184277,N/A,N/A,1.00e-05,30574.77,86.06,327680,N/A,2025-08-03 17:50:21
40,6.404941,N/A,N/A,1.03e-05,30268.68,85.20,335872,2.2887,2025-08-03 17:50:21
41,4.717558,N/A,N/A,1.05e-05,30264.51,85.19,344064,N/A,2025-08-03 17:50:21
42,4.892235,N/A,N/A,1.08e-05,30235.00,85.11,352256,N/A,2025-08-03 17:50:22
43,3.032077,N/A,N/A,1.10e-05,30268.58,85.20,360448,N/A,2025-08-03 17:50:22
44,4.536798,N/A,N/A,1.12e-05,30218.78,85.06,368640,N/A,2025-08-03 17:50:22
45,4.520412,N/A,N/A,1.15e-05,30214.77,85.05,376832,N/A,2025-08-03 17:50:22
46,6.003533,N/A,N/A,1.17e-05,30181.80,84.96,385024,N/A,2025-08-03 17:50:23
47,2.278297,N/A,N/A,1.20e-05,30213.93,85.05,393216,N/A,2025-08-03 17:50:23
